project_id,project_name,sector,ministry,implementing_agency,contractor_name,state,original_cost_crore,revised_cost_crore,cost_overrun_pct,has_cost_overrun,start_date,planned_duration_months,actual_duration_months,planned_completion_date,expected_actual_completion_date,delay_months,is_delayed,physical_progress_pct,expenditure_pct,expenditure_crore,fund_utilization_pct,milestones_total,milestones_completed,delay_reasons,status,risk_score,risk_label
PRJ00271,Uttar Pradesh Fertilizers Infra Development Phase-89,Fertilizers,Ministry of Chemicals & Fertilizers,NMDC,Tata Projects,Uttar Pradesh,2417.24,4730.43,95.7,True,2020-10-02,60,89,2025-09-06,2028-01-24,29,True,66.5,34.2,1619.15,67.0,4,3,Change in project scope; Delay in tendering/equipment supply,Delayed,94.7,High
PRJ00272,Uttar Pradesh Rural Infrastructure Infra Development Phase-90,Rural Infrastructure,Ministry of Rural Development,SAIL,Dilip Buildcon Ltd,Uttar Pradesh,451.47,4050.63,797.21,True,2020-03-09,24,53,2022-02-27,2024-07-16,29,True,72.1,41.9,1696.1,100.0,8,6,Utility shifting delay,Delayed,100.0,High
PRJ00273,Uttar Pradesh Ports & Shipping Infra Development Phase-91,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",IWAI,GR Infraprojects,Uttar Pradesh,1149.9,3203.34,178.58,True,2018-08-03,84,103,2025-06-27,2027-01-18,19,True,79.0,48.7,1561.05,100.0,8,6,Price escalation of raw materials; Funding constraints,Delayed,100.0,High
PRJ00274,Uttar Pradesh Education Infrastructure Infra Development Phase-92,Education Infrastructure,Ministry of Education,ABC Infrastructure Ltd.,J Kumar Infraprojects,Uttar Pradesh,4214.74,4612.99,9.45,True,2017-12-14,60,90,2022-11-18,2025-05-06,30,True,88.4,14.2,656.61,15.6,8,7,Utility shifting delay; Poor contractor mobilization,Delayed,42.9,Medium
PRJ00275,Uttar Pradesh Civil Aviation Infra Development Phase-93,Civil Aviation,Ministry of Civil Aviation,IFFCO,Shapoorji Pallonji Infra,Uttar Pradesh,2830.27,1219.41,0.0,False,2022-11-27,72,72,2028-10-26,2028-10-26,0,False,48.5,100.0,1272.04,44.9,4,2,None,On Track,11.0,Low
PRJ00276,Uttar Pradesh Fertilizers Infra Development Phase-94,Fertilizers,Ministry of Chemicals & Fertilizers,IFFCO,J Kumar Infraprojects,Uttar Pradesh,1549.8,1118.8,0.0,False,2021-10-01,48,48,2025-09-10,2025-09-10,0,False,86.6,100.0,1671.35,100.0,12,10,None,On Track,5.0,Low
PRJ00277,Uttar Pradesh Irrigation Infra Development Phase-95,Irrigation,Ministry of Jal Shakti,NHAI,Shapoorji Pallonji Infra,Uttar Pradesh,773.14,729.56,0.0,False,2021-01-25,24,24,2023-01-15,2023-01-15,0,False,100.0,100.0,1571.85,100.0,8,8,None,Completed,0.0,Low
PRJ00278,Uttar Pradesh Power Infra Development Phase-96,Power,Ministry of Power,ONGC,Larsen & Toubro Infra,Uttar Pradesh,941.48,540.71,0.0,False,2020-10-31,36,59,2023-10-16,2025-09-05,23,True,71.4,23.1,124.67,13.2,10,7,Shortage of skilled manpower,Delayed,23.9,Low
PRJ00279,Uttar Pradesh Civil Aviation Infra Development Phase-97,Civil Aviation,Ministry of Civil Aviation,PowerGrid,PNC Infratech,Uttar Pradesh,1379.42,2175.23,57.69,True,2017-11-13,24,42,2019-11-03,2021-04-26,18,True,73.7,40.8,887.55,64.3,8,6,Forest/environment clearance delay,Delayed,59.2,High
PRJ00280,Uttar Pradesh Rural Infrastructure Infra Development Phase-98,Rural Infrastructure,Ministry of Rural Development,IRCTC,Shapoorji Pallonji Infra,Uttar Pradesh,654.96,661.02,0.93,False,2018-06-21,72,72,2024-05-20,2024-05-20,0,False,92.5,87.8,580.09,88.6,12,11,None,On Track,3.9,Low
PRJ00281,Uttar Pradesh Water Resources Infra Development Phase-99,Water Resources,Ministry of Jal Shakti,PowerGrid,Larsen & Toubro Infra,Uttar Pradesh,3529.63,918.89,0.0,False,2018-10-27,36,75,2021-10-11,2024-12-24,39,True,86.8,100.0,2017.95,57.2,6,5,COVID-19 related disruption,Delayed,32.8,Medium
PRJ00282,Uttar Pradesh Railways Infra Development Phase-100,Railways,Ministry of Railways,State PWD,Shapoorji Pallonji Infra,Uttar Pradesh,3354.16,1765.69,0.0,False,2021-02-01,72,98,2027-01-01,2029-02-19,26,True,46.5,50.7,895.63,26.7,6,3,Rehabilitation & resettlement issues; Price escalation of raw materials,Delayed,31.7,Medium
PRJ00283,Uttar Pradesh Urban Development Infra Development Phase-101,Urban Development,Ministry of Housing & Urban Affairs,Coal India Ltd,Tata Projects,Uttar Pradesh,792.85,198.76,0.0,False,2022-12-28,60,60,2027-12-02,2027-12-02,0,False,58.8,100.0,1213.18,100.0,6,4,None,On Track,9.5,Low
PRJ00284,Uttar Pradesh Steel Infra Development Phase-102,Steel,Ministry of Steel,BSNL,Shapoorji Pallonji Infra,Uttar Pradesh,4839.45,1929.7,0.0,False,2019-03-06,48,74,2023-02-13,2025-04-03,26,True,72.1,54.1,1043.9,21.6,8,6,COVID-19 related disruption; Price escalation of raw materials,Delayed,26.8,Medium
PRJ00285,Uttar Pradesh Steel Infra Development Phase-103,Steel,Ministry of Steel,SAIL,Afcons Infrastructure,Uttar Pradesh,1350.05,2042.77,51.31,True,2022-08-22,48,93,2026-08-01,2030-04-12,45,True,36.4,93.1,1901.2,100.0,12,4,Law and order problems; Poor contractor mobilization,Delayed,76.2,High
PRJ00286,Uttar Pradesh Renewable Energy Infra Development Phase-104,Renewable Energy,Ministry of New & Renewable Energy,Deendayal Port Trust,Shapoorji Pallonji Infra,Uttar Pradesh,1823.45,5696.99,212.43,True,2018-07-21,48,63,2022-06-30,2023-09-23,15,True,89.4,42.1,2397.19,100.0,8,7,Monsoon/weather delays,Delayed,100.0,High
PRJ00287,Uttar Pradesh Irrigation Infra Development Phase-105,Irrigation,Ministry of Jal Shakti,NHPC,Reliance Infrastructure,Uttar Pradesh,1337.67,2304.23,72.26,True,2018-02-25,48,90,2022-02-04,2025-07-18,42,True,84.1,41.3,952.44,71.2,12,10,Rehabilitation & resettlement issues,Delayed,86.1,High
PRJ00288,Uttar Pradesh Ports & Shipping Infra Development Phase-106,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",GAIL,Afcons Infrastructure,Uttar Pradesh,848.7,2177.49,156.57,True,2020-01-23,60,75,2024-12-27,2026-03-22,15,True,82.1,49.4,1075.22,100.0,10,8,Poor contractor mobilization,Delayed,100.0,High
PRJ00289,Uttar Pradesh Ports & Shipping Infra Development Phase-107,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",Coal India Ltd,Tata Projects,Uttar Pradesh,1443.68,4612.07,219.47,True,2022-01-22,48,86,2026-01-01,2029-02-14,38,True,53.4,42.6,1963.42,100.0,8,4,Poor contractor mobilization,Delayed,100.0,High
PRJ00290,Uttar Pradesh Railways Infra Development Phase-108,Railways,Ministry of Railways,SAIL,Shapoorji Pallonji Infra,Uttar Pradesh,458.33,1743.53,280.41,True,2022-08-19,48,91,2026-07-29,2030-02-08,43,True,36.2,24.5,427.61,93.3,8,3,Price escalation of raw materials,Delayed,100.0,High
PRJ00291,Uttar Pradesh Ports & Shipping Infra Development Phase-109,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",AAI,PNC Infratech,Uttar Pradesh,1450.2,2271.84,56.66,True,2019-07-09,36,58,2022-06-23,2024-04-13,22,True,88.4,20.4,464.25,32.0,4,4,Change in project scope; Poor contractor mobilization,Delayed,62.9,High
PRJ00292,Uttar Pradesh Fertilizers Infra Development Phase-110,Fertilizers,Ministry of Chemicals & Fertilizers,IRCTC,Shapoorji Pallonji Infra,Uttar Pradesh,1715.32,3499.52,104.02,True,2018-08-22,96,107,2026-07-11,2027-06-06,11,True,68.7,17.3,606.71,35.4,6,4,Rehabilitation & resettlement issues,Delayed,89.4,High
PRJ00293,Uttar Pradesh Housing Infra Development Phase-111,Housing,Ministry of Housing & Urban Affairs,ABC Infrastructure Ltd.,KNR Constructions,Uttar Pradesh,2084.25,1236.45,0.0,False,2018-07-23,36,36,2021-07-07,2021-07-07,0,False,89.6,100.0,1441.92,69.2,10,9,None,On Track,0.3,Low
PRJ00294,Uttar Pradesh Urban Development Infra Development Phase-112,Urban Development,Ministry of Housing & Urban Affairs,Deendayal Port Trust,Larsen & Toubro Infra,Uttar Pradesh,585.96,3513.49,499.61,True,2017-01-22,72,97,2022-12-22,2025-01-10,25,True,85.1,27.6,969.79,100.0,4,3,Delay in tendering/equipment supply,Delayed,100.0,High
PRJ00295,Uttar Pradesh Renewable Energy Infra Development Phase-113,Renewable Energy,Ministry of New & Renewable Energy,PowerGrid,GMR Infrastructure,Uttar Pradesh,614.34,768.59,25.11,True,2022-12-02,60,69,2027-11-06,2028-08-02,9,True,46.6,79.5,610.85,99.4,10,5,Rehabilitation & resettlement issues,Delayed,30.3,Medium
PRJ00296,Uttar Pradesh Petroleum & Natural Gas Infra Development Phase-114,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,RITES,Larsen & Toubro Infra,Uttar Pradesh,2029.05,2973.66,46.55,True,2018-05-15,60,94,2023-04-19,2026-02-02,34,True,84.3,61.8,1837.84,90.6,4,3,Poor contractor mobilization,Delayed,65.9,High
PRJ00297,Uttar Pradesh Fertilizers Infra Development Phase-115,Fertilizers,Ministry of Chemicals & Fertilizers,Deendayal Port Trust,Shapoorji Pallonji Infra,Uttar Pradesh,794.85,2984.48,275.48,True,2022-02-16,96,140,2030-01-05,2033-08-17,44,True,27.3,10.3,306.33,38.5,4,1,Monsoon/weather delays,Delayed,100.0,High
PRJ00298,Uttar Pradesh Education Infrastructure Infra Development Phase-116,Education Infrastructure,Ministry of Education,NHPC,GR Infraprojects,Uttar Pradesh,1584.18,1572.04,0.0,False,2017-03-09,72,72,2023-02-06,2023-02-06,0,False,100.0,37.6,591.5,37.3,12,12,None,Completed,9.9,Low
PRJ00299,Uttar Pradesh Healthcare Infrastructure Infra Development Phase-117,Healthcare Infrastructure,Ministry of Health & Family Welfare,Coal India Ltd,Larsen & Toubro Infra,Uttar Pradesh,3554.64,1809.51,0.0,False,2018-08-12,48,87,2022-07-22,2025-10-04,39,True,81.5,46.7,845.9,23.8,8,7,Land acquisition delay; Rehabilitation & resettlement issues,Delayed,32.8,Medium
PRJ00300,Uttar Pradesh Irrigation Infra Development Phase-118,Irrigation,Ministry of Jal Shakti,Coal India Ltd,Afcons Infrastructure,Uttar Pradesh,743.93,4883.16,556.4,True,2021-09-03,84,132,2028-07-28,2032-07-07,48,True,39.5,49.0,2390.91,100.0,6,2,Court cases/litigation,Delayed,100.0,High
PRJ00301,Uttar Pradesh Ports & Shipping Infra Development Phase-119,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",HUDCO,GR Infraprojects,Uttar Pradesh,1014.62,1893.68,86.64,True,2022-09-10,84,134,2029-08-04,2033-09-12,50,True,30.0,31.9,603.28,59.5,12,4,Price escalation of raw materials,Delayed,100.0,High
PRJ00302,Uttar Pradesh Housing Infra Development Phase-120,Housing,Ministry of Housing & Urban Affairs,IRCON,NCC Limited,Uttar Pradesh,3110.99,2765.47,0.0,False,2021-05-04,36,36,2024-04-18,2024-04-18,0,False,95.7,46.0,1272.77,40.9,8,8,None,On Track,0.0,Low
PRJ00303,Uttar Pradesh Coal Infra Development Phase-121,Coal,Ministry of Coal,NHAI,GR Infraprojects,Uttar Pradesh,449.09,2088.76,365.11,True,2021-01-02,96,131,2028-11-21,2031-10-07,35,True,38.7,40.4,844.87,100.0,4,2,Shortage of skilled manpower; Court cases/litigation,Delayed,100.0,High
PRJ00304,Uttar Pradesh Rural Infrastructure Infra Development Phase-122,Rural Infrastructure,Ministry of Rural Development,NMDC,KNR Constructions,Uttar Pradesh,1598.31,1309.31,0.0,False,2018-03-01,72,92,2024-01-29,2025-09-20,20,True,82.8,30.9,404.86,25.3,12,10,Contractual issues; Land acquisition delay,Delayed,26.8,Medium
PRJ00305,Uttar Pradesh Irrigation Infra Development Phase-123,Irrigation,Ministry of Jal Shakti,NHPC,GR Infraprojects,Uttar Pradesh,2161.87,1369.85,0.0,False,2020-10-18,84,84,2027-09-12,2027-09-12,0,False,77.1,91.9,1258.72,58.2,6,5,None,On Track,0.0,Low
PRJ00306,Uttar Pradesh Rural Infrastructure Infra Development Phase-124,Rural Infrastructure,Ministry of Rural Development,State Irrigation Dept,Tata Projects,Uttar Pradesh,3013.36,2551.73,0.0,False,2022-05-15,36,73,2025-04-29,2028-05-13,37,True,48.8,30.2,771.88,25.6,6,3,Funding constraints,Delayed,44.1,Medium
PRJ00307,Uttar Pradesh Urban Development Infra Development Phase-125,Urban Development,Ministry of Housing & Urban Affairs,IRCON,Shapoorji Pallonji Infra,Uttar Pradesh,1363.03,4329.21,217.62,True,2020-04-16,48,96,2024-03-26,2028-03-05,48,True,55.0,15.2,660.16,48.4,6,3,Geological surprises,Delayed,100.0,High
PRJ00308,Bihar Railways Infra Development Phase-1,Railways,Ministry of Railways,IRCTC,HCC (Hindustan Construction),Bihar,2449.39,2191.59,0.0,False,2020-06-24,48,48,2024-06-03,2024-06-03,0,False,95.5,20.1,441.3,18.0,12,11,None,On Track,9.0,Low
PRJ00309,Bihar Water Resources Infra Development Phase-2,Water Resources,Ministry of Jal Shakti,NHPC,HCC (Hindustan Construction),Bihar,3113.97,1693.15,0.0,False,2022-04-24,72,101,2028-03-23,2030-08-10,29,True,43.8,58.9,997.3,32.0,8,4,Geological surprises,Delayed,33.5,Medium
PRJ00310,Bihar Steel Infra Development Phase-3,Steel,Ministry of Steel,AAI,KNR Constructions,Bihar,1166.46,2718.23,133.03,True,2017-07-15,48,89,2021-06-24,2024-11-05,41,True,80.1,53.7,1460.87,100.0,8,6,Change in project scope; Price escalation of raw materials,Delayed,100.0,High
PRJ00311,Bihar Irrigation Infra Development Phase-4,Irrigation,Ministry of Jal Shakti,State PWD,Larsen & Toubro Infra,Bihar,1936.52,937.88,0.0,False,2021-06-27,60,60,2026-06-01,2026-06-01,0,False,85.3,100.0,1307.1,67.5,10,9,None,On Track,3.1,Low
PRJ00312,Bihar Water Resources Infra Development Phase-5,Water Resources,Ministry of Jal Shakti,IRCTC,Larsen & Toubro Infra,Bihar,1199.21,332.05,0.0,False,2019-02-05,84,84,2025-12-30,2025-12-30,0,False,100.0,100.0,1256.54,100.0,10,10,None,Completed,4.1,Low
PRJ00313,Bihar Housing Infra Development Phase-6,Housing,Ministry of Housing & Urban Affairs,AAI,Afcons Infrastructure,Bihar,2439.36,4167.37,70.84,True,2022-10-28,48,81,2026-10-07,2029-06-23,33,True,48.1,42.7,1779.75,73.0,8,4,Poor contractor mobilization,Delayed,79.7,High
PRJ00314,Bihar Ports & Shipping Infra Development Phase-7,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",State PWD,Shapoorji Pallonji Infra,Bihar,1711.07,4662.25,172.48,True,2019-01-10,36,60,2021-12-25,2023-12-15,24,True,81.8,13.1,611.5,35.7,12,10,Utility shifting delay; Forest/environment clearance delay,Delayed,100.0,High
PRJ00315,Bihar Ports & Shipping Infra Development Phase-8,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",IRCTC,Larsen & Toubro Infra,Bihar,3615.94,1542.43,0.0,False,2020-04-25,60,105,2025-03-30,2028-12-09,45,True,56.3,14.3,220.72,6.1,8,5,Poor contractor mobilization; Funding constraints,Delayed,48.9,Medium
PRJ00316,Bihar Urban Development Infra Development Phase-9,Urban Development,Ministry of Housing & Urban Affairs,AAI,Larsen & Toubro Infra,Bihar,1735.74,1191.67,0.0,False,2022-01-06,60,60,2026-12-11,2026-12-11,0,False,89.0,57.2,681.58,39.3,4,4,None,On Track,0.0,Low
PRJ00317,Bihar Irrigation Infra Development Phase-10,Irrigation,Ministry of Jal Shakti,Deendayal Port Trust,GMR Infrastructure,Bihar,2144.14,1820.49,0.0,False,2021-11-17,36,36,2024-11-01,2024-11-01,0,False,92.9,38.8,706.71,33.0,8,7,None,On Track,4.1,Low
PRJ00318,Bihar Fertilizers Infra Development Phase-11,Fertilizers,Ministry of Chemicals & Fertilizers,IRCON,Ashoka Buildcon,Bihar,1796.4,952.37,0.0,False,2017-11-04,24,24,2019-10-25,2019-10-25,0,False,89.6,100.0,2894.17,100.0,10,9,None,On Track,0.0,Low
PRJ00319,Bihar Irrigation Infra Development Phase-12,Irrigation,Ministry of Jal Shakti,HUDCO,Ashoka Buildcon,Bihar,703.06,2569.68,265.5,True,2018-10-18,36,45,2021-10-02,2022-06-29,9,True,70.6,21.0,539.09,76.7,4,3,COVID-19 related disruption,Delayed,100.0,High
PRJ00320,Bihar Railways Infra Development Phase-13,Railways,Ministry of Railways,PowerGrid,GR Infraprojects,Bihar,3001.85,1651.98,0.0,False,2017-10-03,84,122,2024-08-27,2027-10-11,38,True,60.6,95.1,1570.4,52.3,6,4,Court cases/litigation; Geological surprises,Delayed,33.2,Medium
PRJ00321,Bihar Healthcare Infrastructure Infra Development Phase-14,Healthcare Infrastructure,Ministry of Health & Family Welfare,IRCON,Larsen & Toubro Infra,Bihar,1943.57,1509.93,0.0,False,2018-09-21,60,106,2023-08-26,2027-06-06,46,True,73.2,100.0,2584.12,100.0,10,7,Court cases/litigation; Shortage of skilled manpower,Delayed,38.0,Medium
PRJ00322,Bihar Ports & Shipping Infra Development Phase-15,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",IWAI,Shapoorji Pallonji Infra,Bihar,2177.63,1422.33,0.0,False,2018-07-18,60,60,2023-06-22,2023-06-22,0,False,100.0,100.0,2265.97,100.0,12,12,None,Completed,0.0,Low
PRJ00323,Bihar Irrigation Infra Development Phase-16,Irrigation,Ministry of Jal Shakti,SAIL,Shapoorji Pallonji Infra,Bihar,2775.96,1962.52,0.0,False,2020-07-11,36,79,2023-06-26,2027-01-06,43,True,67.2,41.4,811.98,29.3,8,5,Change in project scope,Delayed,38.8,Medium
PRJ00324,Bihar Roads & Highways Infra Development Phase-17,Roads & Highways,Ministry of Road Transport & Highways,GAIL,Shapoorji Pallonji Infra,Bihar,2843.11,1668.34,0.0,False,2022-08-07,60,60,2027-07-12,2027-07-12,0,False,70.8,79.0,1318.51,46.4,12,8,None,On Track,5.5,Low
PRJ00325,Bihar Water Resources Infra Development Phase-18,Water Resources,Ministry of Jal Shakti,NHPC,Larsen & Toubro Infra,Bihar,751.65,1993.01,165.15,True,2018-04-28,36,69,2021-04-12,2023-12-28,33,True,87.9,47.6,947.87,100.0,8,7,COVID-19 related disruption; Change in project scope,Delayed,100.0,High
PRJ00326,Bihar Education Infrastructure Infra Development Phase-19,Education Infrastructure,Ministry of Education,RITES,GMR Infrastructure,Bihar,644.17,1341.86,108.31,True,2022-07-05,24,36,2024-06-24,2025-06-19,12,True,85.1,35.8,480.57,74.6,6,5,Contractual issues,Delayed,91.6,High
PRJ00327,Bihar Ports & Shipping Infra Development Phase-20,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",State Irrigation Dept,Shapoorji Pallonji Infra,Bihar,921.75,3667.77,297.91,True,2018-12-09,36,56,2021-11-23,2023-07-16,20,True,70.5,46.9,1718.72,100.0,10,7,Utility shifting delay,Delayed,100.0,High
PRJ00328,Bihar Rural Infrastructure Infra Development Phase-21,Rural Infrastructure,Ministry of Rural Development,AAI,Larsen & Toubro Infra,Bihar,659.23,2569.73,289.81,True,2017-09-23,84,92,2024-08-17,2025-04-14,8,True,84.1,45.2,1161.35,100.0,12,10,Rehabilitation & resettlement issues; Poor contractor mobilization,Delayed,100.0,High
PRJ00329,Bihar Power Infra Development Phase-22,Power,Ministry of Power,ABC Infrastructure Ltd.,Sadbhav Engineering,Bihar,1181.37,2001.91,69.46,True,2018-12-15,96,109,2026-11-03,2027-11-28,13,True,61.3,22.0,440.2,37.3,8,5,Change in project scope,Delayed,70.6,High
PRJ00330,Bihar Renewable Energy Infra Development Phase-23,Renewable Energy,Ministry of New & Renewable Energy,PowerGrid,Larsen & Toubro Infra,Bihar,713.05,1040.82,45.97,True,2019-08-28,60,109,2024-08-01,2028-08-10,49,True,52.6,62.2,647.46,90.8,10,5,Court cases/litigation,Delayed,75.7,High
PRJ00331,Bihar Postal Infrastructure Infra Development Phase-24,Postal Infrastructure,Ministry of Communications,IWAI,Shapoorji Pallonji Infra,Bihar,747.47,3538.54,373.4,True,2021-02-20,84,96,2028-01-15,2029-01-09,12,True,57.7,21.1,745.91,99.8,10,6,Funding constraints,Delayed,100.0,High
PRJ00332,Bihar Ports & Shipping Infra Development Phase-25,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",RITES,Shapoorji Pallonji Infra,Bihar,1907.07,1386.64,0.0,False,2021-06-19,48,91,2025-05-29,2028-12-09,43,True,57.7,100.0,1604.14,84.1,10,6,Poor contractor mobilization; Monsoon/weather delays,Delayed,38.4,Medium
PRJ00333,Bihar Healthcare Infrastructure Infra Development Phase-26,Healthcare Infrastructure,Ministry of Health & Family Welfare,RVNL,Shapoorji Pallonji Infra,Bihar,466.28,2186.96,369.02,True,2018-05-29,84,118,2025-04-22,2028-02-06,34,True,70.6,16.5,360.99,77.4,8,6,COVID-19 related disruption,Delayed,100.0,High
PRJ00334,Bihar Urban Development Infra Development Phase-27,Urban Development,Ministry of Housing & Urban Affairs,IFFCO,Megha Engineering (MEIL),Bihar,1606.78,1425.39,0.0,False,2022-10-21,48,53,2026-09-30,2027-02-27,5,True,74.5,25.3,359.94,22.4,8,6,Law and order problems,Delayed,17.2,Low
PRJ00335,Bihar Civil Aviation Infra Development Phase-28,Civil Aviation,Ministry of Civil Aviation,State PWD,IRB Infrastructure,Bihar,2547.13,3054.07,19.9,True,2022-08-22,48,86,2026-08-01,2029-09-14,38,True,41.2,30.7,936.4,36.8,4,2,Contractual issues,Delayed,49.9,Medium
PRJ00336,Bihar Steel Infra Development Phase-29,Steel,Ministry of Steel,GAIL,KNR Constructions,Bihar,2535.48,440.87,0.0,False,2018-10-26,60,82,2023-09-30,2025-07-21,22,True,83.1,95.5,421.04,16.6,8,7,Court cases/litigation,Delayed,24.0,Low
PRJ00337,Bihar Telecommunications Infra Development Phase-30,Telecommunications,Ministry of Communications,RITES,Shapoorji Pallonji Infra,Bihar,2217.18,1406.41,0.0,False,2017-11-20,72,94,2023-10-20,2025-08-10,22,True,93.9,52.2,733.8,33.1,8,8,Delay in tendering/equipment supply,Delayed,21.4,Low
PRJ00338,Bihar Civil Aviation Infra Development Phase-31,Civil Aviation,Ministry of Civil Aviation,NMDC,Shapoorji Pallonji Infra,Bihar,2382.93,3091.04,29.72,True,2020-05-25,48,76,2024-05-04,2026-08-22,28,True,86.8,19.3,597.23,25.1,12,10,Law and order problems,Delayed,50.5,High
PRJ00339,Bihar Healthcare Infrastructure Infra Development Phase-32,Healthcare Infrastructure,Ministry of Health & Family Welfare,IWAI,Larsen & Toubro Infra,Bihar,2302.67,1250.25,0.0,False,2018-09-24,60,60,2023-08-29,2023-08-29,0,False,98.6,12.7,159.08,6.9,6,6,None,Completed,2.9,Low
PRJ00340,Bihar Rural Infrastructure Infra Development Phase-33,Rural Infrastructure,Ministry of Rural Development,Deendayal Port Trust,Sadbhav Engineering,Bihar,734.56,465.51,0.0,False,2020-10-14,72,72,2026-09-13,2026-09-13,0,False,84.8,100.0,522.62,71.1,12,10,None,On Track,2.7,Low
PRJ00341,Bihar Railways Infra Development Phase-34,Railways,Ministry of Railways,NHAI,Larsen & Toubro Infra,Bihar,1347.18,1342.99,0.0,False,2017-11-29,60,97,2022-11-03,2025-11-17,37,True,71.6,53.5,718.99,53.4,4,3,Geological surprises; Price escalation of raw materials,Delayed,36.5,Medium
PRJ00342,Bihar Healthcare Infrastructure Infra Development Phase-35,Healthcare Infrastructure,Ministry of Health & Family Welfare,State PWD,Larsen & Toubro Infra,Bihar,2251.24,2436.51,8.23,True,2017-05-05,24,53,2019-04-25,2021-09-11,29,True,72.1,57.7,1405.63,62.4,10,7,Rehabilitation & resettlement issues; Shortage of skilled manpower,Delayed,30.6,Medium
PRJ00343,Bihar Petroleum & Natural Gas Infra Development Phase-36,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,IFFCO,PNC Infratech,Bihar,1154.51,912.43,0.0,False,2021-07-22,72,72,2027-06-21,2027-06-21,0,False,83.0,100.0,2287.78,100.0,8,7,None,On Track,4.1,Low
PRJ00344,Bihar Urban Development Infra Development Phase-37,Urban Development,Ministry of Housing & Urban Affairs,RVNL,HCC (Hindustan Construction),Bihar,1162.02,1882.88,62.04,True,2017-09-03,96,128,2025-07-23,2028-03-09,32,True,72.2,26.0,488.66,42.1,6,4,Poor contractor mobilization; Shortage of skilled manpower,Delayed,71.9,High
PRJ00345,Bihar Urban Development Infra Development Phase-38,Urban Development,Ministry of Housing & Urban Affairs,ONGC,Simplex Infrastructures,Bihar,1832.03,1885.6,2.92,True,2020-10-25,36,66,2023-10-10,2026-03-28,30,True,94.0,48.3,911.64,49.8,12,11,Utility shifting delay,Delayed,30.8,Medium
PRJ00346,Bihar Mining Infra Development Phase-39,Mining,Ministry of Mines,AAI,Larsen & Toubro Infra,Bihar,3925.94,5118.12,30.37,True,2021-06-22,24,50,2023-06-12,2025-07-31,26,True,74.2,21.6,1106.54,28.2,6,4,Change in project scope; Law and order problems,Delayed,49.9,Medium
PRJ00347,Bihar Petroleum & Natural Gas Infra Development Phase-40,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,State Irrigation Dept,Larsen & Toubro Infra,Bihar,2488.31,1170.13,0.0,False,2018-05-17,60,60,2023-04-21,2023-04-21,0,False,100.0,100.0,2767.8,100.0,8,8,None,Completed,3.7,Low
PRJ00348,Bihar Urban Development Infra Development Phase-41,Urban Development,Ministry of Housing & Urban Affairs,Coal India Ltd,Afcons Infrastructure,Bihar,476.78,4820.81,911.12,True,2018-08-01,72,107,2024-06-30,2027-05-16,35,True,81.4,12.0,577.95,100.0,4,3,Rehabilitation & resettlement issues,Delayed,100.0,High
PRJ00349,Bihar Water Resources Infra Development Phase-42,Water Resources,Ministry of Jal Shakti,Deendayal Port Trust,Afcons Infrastructure,Bihar,1720.28,1174.99,0.0,False,2021-09-09,60,60,2026-08-14,2026-08-14,0,False,81.9,40.0,469.67,27.3,6,5,None,On Track,8.1,Low
PRJ00350,Bihar Power Infra Development Phase-43,Power,Ministry of Power,IRCTC,Shapoorji Pallonji Infra,Bihar,799.78,2842.01,255.35,True,2020-07-04,36,57,2023-06-19,2025-03-10,21,True,80.2,23.0,652.88,81.6,6,5,Monsoon/weather delays,Delayed,100.0,High
PRJ00351,Bihar Telecommunications Infra Development Phase-44,Telecommunications,Ministry of Communications,State Irrigation Dept,GR Infraprojects,Bihar,2583.93,1705.19,0.0,False,2022-08-05,36,86,2025-07-20,2029-08-28,50,True,47.4,27.4,467.24,18.1,8,4,Land acquisition delay; Forest/environment clearance delay,Delayed,49.7,Medium
PRJ00352,Bihar Water Resources Infra Development Phase-45,Water Resources,Ministry of Jal Shakti,HUDCO,Larsen & Toubro Infra,Bihar,3160.33,1549.6,0.0,False,2022-02-16,96,96,2030-01-05,2030-01-05,0,False,57.4,78.2,1211.29,38.3,6,3,None,On Track,10.3,Low
PRJ00353,Bihar Renewable Energy Infra Development Phase-46,Renewable Energy,Ministry of New & Renewable Energy,IWAI,Larsen & Toubro Infra,Bihar,4286.96,745.34,0.0,False,2020-12-16,36,36,2023-12-01,2023-12-01,0,False,89.3,100.0,1431.64,33.4,4,4,None,On Track,3.7,Low
